Electoral	Representativo	Senatorial
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	5	1
7	6	2
8	6	2
9	6	2
10	7	2
11	8	2
12	9	2
13	9	2
14	10	2
15	11	3
16	11	3
17	12	3
18	11	3
19	12	3
20	12	3
21	12	3
22	13	3
23	13	3
24	13	3
25	13	3
26	13	3
27	14	3
28	14	3
29	15	3
30	15	3
31	15	3
32	16	4
33	16	4
34	16	4
35	17	4
36	17	4
37	18	4
38	18	4
39	18	4
40	18	4
41	18	4
42	19	4
43	19	4
44	20	4
45	20	4
46	20	4
47	21	5
48	21	5
49	21	5
50	21	5
51	21	5
52	23	5
53	22	5
54	22	5
55	22	5
56	22	5
57	25	5
58	23	5
59	23	5
60	23	5
61	24	5
62	25	5
63	25	5
64	27	6
65	26	6
66	26	6
67	27	6
68	26	6
69	27	6
70	26	6
71	28	6
72	28	6
73	28	6
74	28	6
75	27	6
76	29	6
77	29	6
78	30	6
79	30	6
80	30	6
81	5	1
82	31	7
83	32	7
84	31	7
85	27	6
86	33	7
87	34	7
88	33	7
89	33	7
90	35	7
91	34	7
92	34	7
93	34	7
94	35	7
95	35	7
96	36	8
97	36	8
98	36	8
99	36	8
100	36	8
101	36	8
102	37	8
103	37	8
104	37	8
105	38	8
106	38	8
107	39	8
108	40	8
109	38	8
110	39	8
