Afiliación	Candidatura	Distrito	Candidato
	Representante	2	Julio Ángel Vargas Cruz
	Representante	35	Samuel (Sammy) Pagán Cuadrado
	Representante	38	Emmanuel Huertas
	Senador	0	José Antonio Vargas Vidot
Movimiento Victoria Ciudadana	Representante	0	José Bernardo Márquez
Movimiento Victoria Ciudadana	Representante	0	Mariana Nogales Molinelli
Movimiento Victoria Ciudadana	Representante	1	Alberto A. Derkes De León
Movimiento Victoria Ciudadana	Representante	2	Fernando Villaespesa Zalduondo
Movimiento Victoria Ciudadana	Representante	3	Eva Prados Rodríguez
Movimiento Victoria Ciudadana	Representante	4	Rafaela Esteves Agramonte
Movimiento Victoria Ciudadana	Representante	5	Carlos Ávila Pacheco
Movimiento Victoria Ciudadana	Representante	6	Alex Rodríguez Rodríguez
Movimiento Victoria Ciudadana	Representante	7	Carmen J (La Reve) Pagán Cabrera
Movimiento Victoria Ciudadana	Representante	8	Moraima Rodríguez Vélez
Movimiento Victoria Ciudadana	Representante	9	Edna Vázquez Díaz
Movimiento Victoria Ciudadana	Representante	11	Lousif Antonio Nevárez De Gracia
Movimiento Victoria Ciudadana	Representante	12	Edwin (Win) Marrero Santiago
Movimiento Victoria Ciudadana	Representante	13	José F. Cintrón
Movimiento Victoria Ciudadana	Representante	14	Ismael Rodríguez Medina
Movimiento Victoria Ciudadana	Representante	17	Santiago Concepción Cajigas
Movimiento Victoria Ciudadana	Representante	18	Pedro G. Acevedo Vargas
Movimiento Victoria Ciudadana	Representante	19	Yadira Vázquez Rivera
Movimiento Victoria Ciudadana	Representante	20	Noé Ramírez Ramírez
Movimiento Victoria Ciudadana	Representante	21	Andrés Acosta Mercado
Movimiento Victoria Ciudadana	Representante	23	Saimé Figueroa Rodríguez
Movimiento Victoria Ciudadana	Representante	24	Reinaldo Colón Vega
Movimiento Victoria Ciudadana	Representante	28	José Daniel (Chapa) Rodríguez
Movimiento Victoria Ciudadana	Representante	31	César Augusto García Martínez
Movimiento Victoria Ciudadana	Representante	32	Maritza Maymí Hernández
Movimiento Victoria Ciudadana	Representante	38	Daniel Lugo Mercado
Movimiento Victoria Ciudadana	Representante	39	Manuel Alonso López
Movimiento Victoria Ciudadana	Representante	40	Tiffany Rohena
Movimiento Victoria Ciudadana	Senador	0	Ana Irma Rivera Lassén
Movimiento Victoria Ciudadana	Senador	0	Rafael Bernabe
Movimiento Victoria Ciudadana	Senador	1	Marilú Guzmán
Movimiento Victoria Ciudadana	Senador	1	Rosa Seguí
Movimiento Victoria Ciudadana	Senador	2	Myma Conty
Movimiento Victoria Ciudadana	Senador	2	Ruthie Arroyo
Movimiento Victoria Ciudadana	Senador	3	Annette Y Jiménez Collet
Movimiento Victoria Ciudadana	Senador	3	Yamira Colón Rosa
Movimiento Victoria Ciudadana	Senador	4	Luis Antonio Ferrer Rivera
Movimiento Victoria Ciudadana	Senador	4	Marisol Vega Muñiz
Movimiento Victoria Ciudadana	Senador	5	Daniel (Danny) Ortiz
Movimiento Victoria Ciudadana	Senador	5	Maikel González Alvarado
Movimiento Victoria Ciudadana	Senador	6	Tomás Flores Torres
Movimiento Victoria Ciudadana	Senador	7	Mayra Vicil Bernier
Movimiento Victoria Ciudadana	Senador	7	Xander Torres
Movimiento Victoria Ciudadana	Senador	8	Alice G Pérez Fernández
Movimiento Victoria Ciudadana	Senador	8	Reginald (Reggie) Smith Pizarro
Partido Independentista Puertorriqueño	Representante	0	Denis Márquez Lebrón
Partido Independentista Puertorriqueño	Representante	1	Carmen H. Santiago Negrón
Partido Independentista Puertorriqueño	Representante	2	Darío W. Ortiz González
Partido Independentista Puertorriqueño	Representante	3	Ángel L. Alicea Montañez (Luigi)
Partido Independentista Puertorriqueño	Representante	4	Marian Ortiz Vargas
Partido Independentista Puertorriqueño	Representante	5	Alfonso Questell Ortiz
Partido Independentista Puertorriqueño	Representante	6	Jaime Rodríguez Rivera
Partido Independentista Puertorriqueño	Representante	7	Mario Maldonado Ramírez
Partido Independentista Puertorriqueño	Representante	8	Jesús M. Dávila Molina
Partido Independentista Puertorriqueño	Representante	9	Iván A. Sánchez Almodóvar
Partido Independentista Puertorriqueño	Representante	10	Roberto Jusino Serrano
Partido Independentista Puertorriqueño	Representante	11	Guillermo Martínez Rivera
Partido Independentista Puertorriqueño	Representante	12	Ángel R. (Rafita) Santana
Partido Independentista Puertorriqueño	Representante	13	Yahaira Velázquez Correa
Partido Independentista Puertorriqueño	Representante	14	Héctor Guillermo Díaz
Partido Independentista Puertorriqueño	Representante	15	Fernando Babilonia Aguilar
