Municipio	Afiliación	Candidatura	Candidato
Adjuntas	Partido Nuevo Progresista	Alcalde	Jaime Barlucea Maldonado
Adjuntas	Partido Nuevo Progresista	Legislador	Arcelio González Vélez
Adjuntas	Partido Nuevo Progresista	Legislador	Enrique Puig Colón
Adjuntas	Partido Nuevo Progresista	Legislador	Aida Mirta Rivera lrizarry
Adjuntas	Partido Nuevo Progresista	Legislador	Noralis Lamboy López
Adjuntas	Partido Nuevo Progresista	Legislador	Illis S. Rivera Rodríguez
Adjuntas	Partido Nuevo Progresista	Legislador	Leonides Torré Avilés
Adjuntas	Partido Nuevo Progresista	Legislador	Deborah Antongiorgi Santiago
Adjuntas	Partido Nuevo Progresista	Legislador	Oscar L. Orengo Torres
Adjuntas	Partido Nuevo Progresista	Legislador	Félix Colón Mercado
Adjuntas	Partido Popular Democrático	Alcalde	José Hiram Soto Rivera
Adjuntas	Partido Popular Democrático	Legislador	Elvin Gil Boneta Alcover
Adjuntas	Partido Popular Democrático	Legislador	Luisa Linnette Rivera Albino
Adjuntas	Partido Popular Democrático	Legislador	Verónica Santiago Rodríguez
Adjuntas	Partido Popular Democrático	Legislador	José A. González Vázquez
Adjuntas	Partido Popular Democrático	Legislador	Evelyn Feliciano Marcucci
Adjuntas	Partido Popular Democrático	Legislador	Rafael Antonio Munet Maldonado
Adjuntas	Partido Popular Democrático	Legislador	Axel Medina Caraballo
Adjuntas	Partido Popular Democrático	Legislador	Guadalupe Rivera Oquendo
Adjuntas	Partido Popular Democrático	Legislador	Elvis Omar Torres Alvarado
Adjuntas	Partido Independentista Puertorriqueño	Alcalde	Carlos A Sanabria Plaza
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Adalberto Lugo Boneta
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Carmen Cotty Pabón
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Rafael Pérez Núñez
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Jeniffer Arroyo López
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Elizabeth Massol Santana
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Jorge A Aponte Carattini
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Osvaldo Enrique Homs De Jesús
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Glori Ivette Ramírez Díaz
Adjuntas	Partido Independentista Puertorriqueño	Legislador	Ángel Alexander Alvarado Malavé
Aguada	Partido Nuevo Progresista	Alcalde	Luis A. (Berty) Echevarría Santiago
Aguada	Partido Nuevo Progresista	Legislador	Tania Anubis Montalvo
Aguada	Partido Nuevo Progresista	Legislador	Héctor L Mendoza Cardona
Aguada	Partido Nuevo Progresista	Legislador	Jorge Luis Mejías Agosto
Aguada	Partido Nuevo Progresista	Legislador	Miriam Marcial Feliciano
Aguada	Partido Nuevo Progresista	Legislador	Henry Mendoza
Aguada	Partido Nuevo Progresista	Legislador	Samuel Echevarría Chaparro
Aguada	Partido Nuevo Progresista	Legislador	Carolina Beras Aulet
Aguada	Partido Nuevo Progresista	Legislador	Javier García Bonilla
Aguada	Partido Nuevo Progresista	Legislador	Carlos Javier Chaparro Galloza
Aguada	Partido Popular Democrático	Alcalde	Christian Cortés
Aguada	Partido Popular Democrático	Legislador	Luis Ángel Acevedo Jiménez
Aguada	Partido Popular Democrático	Legislador	César Mercado Cuevas
Aguada	Partido Popular Democrático	Legislador	Deborah Marie Soler Crespo
Aguada	Partido Popular Democrático	Legislador	Heri Antonio Soto López
Aguada	Partido Popular Democrático	Legislador	Miguel A. Ruiz Acevedo
